Rating Period,Calendar Year,Model,County,Health Plan,Category of Aid,Lower Bound,Midpoint,Upper Bound
1/22-12/22,2022,COHS,Santa Barbara,CenCal Health,Maternity," $7,493.44 "," $7,706.70 "," $7,927.16 "
1/22-12/22,2022,COHS,Santa Barbara,CenCal Health,Behavioral Health Treatment 0-6," $2,492.75 "," $2,570.15 "," $2,650.32 "
1/22-12/22,2022,COHS,Santa Barbara,CenCal Health,Behavioral Health Treatment 7-20," $1,808.64 "," $1,864.80 "," $1,922.97 "
1/22-12/22,2022,COHS,Orange,CalOptima,Child, $82.55 , $85.73 , $89.07 
1/22-12/22,2022,COHS,Orange,CalOptima,Adult, $245.78 , $253.62 , $261.77 
1/22-12/22,2022,COHS,Orange,CalOptima,Adult Expansion, $336.90 , $347.15 , $357.80 
1/22-12/22,2022,COHS,Orange,CalOptima,SPD, $665.32 , $684.64 , $704.66 
1/22-12/22,2022,COHS,Orange,CalOptima,SPD Dual, $211.09 , $216.38 , $221.89 
1/22-12/22,2022,COHS,Orange,CalOptima,LTC," $11,919.55 "," $12,081.63 "," $12,247.96 "
1/22-12/22,2022,COHS,Orange,CalOptima,LTC Dual," $7,762.15 "," $7,849.29 "," $7,938.42 "
1/22-12/22,2022,COHS,Orange,CalOptima,WCM," $1,716.87 "," $1,765.12 "," $1,815.06 "
1/22-12/22,2022,COHS,Orange,CalOptima,Maternity," $7,396.27 "," $7,605.51 "," $7,821.75 "
1/22-12/22,2022,COHS,Orange,CalOptima,Behavioral Health Treatment 0-6," $2,347.43 "," $2,419.94 "," $2,495.02 "
1/22-12/22,2022,COHS,Orange,CalOptima,Behavioral Health Treatment 7-20," $1,776.56 "," $1,831.43 "," $1,888.25 "
